Date,Train,Validation,M1,M2,M3,M4
1/4/2021,133.6100006,,133.5200043,129.4100037,168.2330048,129.2169189
1/5/2021,131.7400055,,128.8899994,131.0099945,170.3129929,130.8145142
1/6/2021,131.0500031,,127.7200012,126.5999985,164.5799981,126.4111023
1/7/2021,131.6300049,,128.3600006,130.9199982,170.1959977,130.7246552
1/8/2021,132.6300049,,132.4299927,132.0500031,171.665004,131.8529663
1/11/2021,130.1699982,,129.1900024,128.9799957,167.6739944,128.7875519
1/12/2021,129.6900024,,128.5,128.8000031,167.440004,128.6078186
1/13/2021,131.4499969,,128.7599945,130.8899994,170.1569992,130.6947021
1/14/2021,131,,130.8000031,128.9100037,167.5830048,128.7176666
1/15/2021,130.2200012,,128.7799988,127.1399994,165.2819992,126.9502945
1/19/2021,128.7100067,,127.7799988,127.8300018,166.1790023,127.639267
1/20/2021,132.4900055,,128.6600037,132.0299988,171.6389984,131.8329926
1/21/2021,139.6699982,,133.8000031,136.8699951,177.9309936,136.6657715
1/22/2021,139.8500061,,136.2799988,139.0700073,180.7910095,138.8625031
1/25/2021,145.0899963,,143.0700073,142.9199982,185.7959977,142.7067566
1/26/2021,144.3000031,,143.6000061,143.1600037,186.1080048,142.9463959
1/27/2021,144.3000031,,143.4299927,142.0599976,184.6779969,141.8480377
1/28/2021,141.9900055,,139.5200043,137.0899963,178.2169952,136.8854523
1/29/2021,136.7400055,,135.8300018,131.9600067,171.5480087,131.7631073
2/1/2021,135.3800049,130.9299927,133.75,134.1399994,174.3819992,133.9398499
2/2/2021,136.3099976,134.6100006,135.7299957,134.9900055,175.4870072,134.7885895
2/3/2021,135.7700043,133.6100006,135.7599945,133.9400024,174.1220031,133.7401581
2/4/2021,137.3999939,134.5899963,136.3000031,137.3899994,178.6069992,137.1849976
2/5/2021,137.4199982,135.8600006,137.3500061,136.7599945,177.7879929,136.7599945
2/8/2021,136.9600067,134.9199982,136.0299988,136.9100037,177.9830048,136.9100037
2/9/2021,137.8800049,135.8500061,136.6199951,136.0099945,176.8129929,136.0099945
2/10/2021,136.9900055,134.3999939,136.4799957,135.3899994,176.0069992,135.3899994
2/11/2021,136.3899994,133.7700043,135.8999939,135.1300049,175.6690064,135.1300049
2/12/2021,135.5299988,133.6900024,134.3500061,135.3699951,175.9809936,135.3699951
2/16/2021,136.0099945,132.7899933,135.4900055,133.1900024,173.1470031,133.1900024
2/17/2021,132.2200012,129.4700012,131.25,130.8399963,170.0919952,130.8399963
2/18/2021,130,127.4100037,129.1999969,129.7100067,168.6230087,129.7100067
2/19/2021,130.7100067,128.8000031,130.2400055,129.8699951,168.8309936,129.8699951
2/22/2021,129.7200012,125.5999985,128.0099945,126,163.8,126
2/23/2021,126.7099991,118.3899994,123.7600021,125.8600006,163.6180008,125.8600006
2/24/2021,125.5599976,122.2300034,124.9400024,125.3499985,162.9549981,125.3499985
2/25/2021,126.4599991,120.5400009,124.6800003,120.9899979,157.2869973,120.9899979
2/26/2021,124.8499985,121.1999969,122.5899963,121.2600021,157.6380027,121.2600021
3/1/2021,127.9300003,122.7900009,123.75,127.7900009,166.1270012,127.7900009
3/2/2021,128.7200012,125.0100021,128.4100037,125.1200027,162.6560035,125.1200027
3/3/2021,125.7099991,121.8399963,124.8099976,122.0599976,158.6779969,122.0599976
3/4/2021,123.5999985,118.6200027,121.75,120.1299973,156.1689965,120.1299973
3/5/2021,121.9400024,117.5699997,120.9800034,121.4199982,157.8459977,121.4199982
